Date,Open,High,Low,Close,Adj Close,Volume
2019-06-11,155.309998,155.539993,153.750000,154.720001,154.720001,526600
2019-06-12,154.740005,155.539993,154.470001,154.630005,154.630005,318300
2019-06-13,154.039993,154.479996,153.690002,154.050003,154.050003,281600
2019-06-14,153.220001,153.313004,152.285004,152.860001,152.860001,196200
2019-06-17,153.460007,154.570007,153.449997,154.139999,154.139999,222600
2019-06-18,156.580002,158.520004,156.419998,158.210007,158.210007,289800
2019-06-19,156.850006,158.449997,155.869995,157.830002,157.830002,335100
2019-06-20,162.050003,163.639999,160.589996,161.160004,161.160004,659800
2019-06-21,161.190002,162.354004,161.000000,162.210007,162.210007,369100
2019-06-24,162.869995,163.500000,162.100006,162.210007,162.210007,427600
2019-06-25,161.449997,162.240005,159.119995,159.740005,159.740005,465600
2019-06-26,159.699997,160.279999,158.759995,159.500000,159.500000,403200
2019-06-27,158.960007,161.000000,158.940002,160.860001,160.860001,229000
2019-06-28,161.320007,162.610001,161.199997,161.419998,161.419998,191200
2019-07-01,162.570007,163.529999,162.500000,163.190002,163.190002,292500
2019-07-02,164.820007,165.199997,164.369995,165.119995,165.119995,269600
2019-07-03,168.179993,169.479996,167.160004,167.509995,167.509995,338100
2019-07-05,165.559998,165.983994,164.649994,165.610001,165.610001,378300
2019-07-08,166.179993,166.500000,165.660004,165.850006,165.850006,315300
2019-07-09,165.279999,165.710007,165.000000,165.639999,165.639999,240000
2019-07-10,167.070007,167.520004,166.610001,167.000000,167.000000,215300
2019-07-11,166.699997,167.007996,166.110001,166.429993,166.429993,242100
2019-07-12,167.039993,167.500000,166.070007,166.509995,166.509995,245300
2019-07-15,168.089996,168.770004,167.830002,168.470001,168.470001,346100
2019-07-16,170.070007,170.539993,169.009995,169.119995,169.119995,441700
2019-07-17,169.509995,170.240005,168.720001,168.750000,168.750000,302800
2019-07-18,168.699997,169.460007,167.246994,168.699997,168.699997,412800
2019-07-19,167.440002,168.250000,166.360001,166.500000,166.500000,336000
2019-07-22,167.190002,168.199997,167.000000,167.100006,167.100006,417700
2019-07-23,168.529999,168.770004,167.779999,168.429993,168.429993,254900
2019-07-24,168.139999,168.619995,166.720001,167.509995,167.509995,522000
2019-07-25,167.250000,167.380005,164.725006,166.270004,166.270004,262800
2019-07-26,165.550003,166.210007,165.270004,165.850006,165.850006,248000
2019-07-29,165.050003,165.220001,164.360001,164.679993,164.679993,329000
2019-07-30,160.830002,161.949997,159.809998,160.139999,160.139999,666200
2019-07-31,162.300003,163.229996,159.729996,161.080002,161.080002,433800
2019-08-01,162.679993,165.539993,162.550003,163.000000,163.000000,422800
2019-08-02,161.679993,162.509995,158.600006,159.479996,159.479996,805300
2019-08-05,158.979996,159.259995,155.509995,156.779999,156.779999,441400
2019-08-06,157.000000,157.580002,154.580002,156.589996,156.589996,537900
2019-08-07,155.350006,158.330002,155.080002,158.110001,158.110001,394000
2019-08-08,158.580002,160.830002,158.210007,160.100006,160.100006,332400
2019-08-09,159.080002,159.520004,156.735001,158.869995,158.869995,429800
2019-08-12,158.139999,159.619995,157.580002,158.029999,158.029999,182400
2019-08-13,158.529999,161.509995,158.210007,160.820007,160.820007,263600
2019-08-14,159.000000,159.610001,155.080002,155.899994,155.899994,425800
2019-08-15,155.710007,156.119995,154.089996,155.320007,155.320007,316200
2019-08-16,154.130005,156.690002,154.130005,155.830002,155.830002,447700
2019-08-19,157.000000,157.449997,156.130005,156.179993,156.179993,332400
2019-08-20,155.070007,155.820007,154.529999,155.029999,155.029999,655800
2019-08-21,157.220001,157.610001,156.350006,156.490005,156.490005,455100
2019-08-22,156.050003,156.199997,154.449997,155.110001,155.110001,191900
2019-08-23,154.009995,155.649994,152.919998,153.220001,153.220001,731700
2019-08-26,155.979996,156.960007,154.529999,156.600006,156.600006,490000
2019-08-27,159.720001,161.050003,159.259995,160.389999,160.389999,385900
2019-08-28,157.539993,158.975006,156.449997,157.649994,157.649994,512000
2019-08-29,159.339996,159.520004,158.169998,158.220001,158.220001,298900
